"","star_results.CbriggsaeAligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep2Aligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep3Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep1Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep2Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid_rep3Aligned.sortedByCoord.out.bam"
"WBGene00086596__Cni-B0025.4",112,124,40,2,36,20,46,54,26,28,0,0
"WBGene00040729__Cni-vps-34",300,300,386,40,72,38,182,140,216,214,326,118
"WBGene00040732__Cni-madf-6",10,0,0,0,0,0,8,24,14,0,0,16
"WBGene00040733__Cni-hmbx-1",50,30,26,28,10,38,0,14,0,0,0,0
"WBGene00040734__Cni-C54G6.2",42,44,8,0,0,8,0,0,0,0,0,0
"WBGene00270840__Cnig_chr_I.g546",6,18,10,336,554,491,22,16,14,204,340,84
"WBGene00040738__Cni-F13E9.5",1042,1561,687,403,567,635,256,478,256,406,418,405
"WBGene00270394__Cnig_chr_I.g548",110,214,102,114,96,72,118,191,88,94,26,58
"WBGene00040743__Cnig_chr_I.g554",156,229,64,20,2,0,76,78,128,62,92,46
"WBGene00040748__Cnig_chr_I.g580",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00040749__Cni-Y51F10.4",264,421,213,152,88,127,134,142,122,184,146,92
"WBGene00040750__Cni-hex-4",114,106,82,30,8,8,16,26,24,28,1,50
"WBGene00040753__Cnig_chr_I.g577",122,112,92,22,16,38,72,56,14,76,70,44
"WBGene00040753__Cnig_chr_I.g576",122,112,92,22,16,38,72,56,14,76,70,44
"WBGene00040753__Cni-trpp-10",122,112,92,22,16,38,72,56,14,76,70,44
"WBGene00040755__Cni-Y51F10.3",110,202,106,12,20,50,112,48,66,188,140,160
"WBGene00040756__Cni-Y51F10.11",42,192,88,114,160,98,134,128,110,160,99,186
"WBGene00040758__Cni-spe-48",198,336,266,106,70,104,190,216,176,146,139,76
"WBGene00040759__Cni-Y51F10.2",50,16,114,2,20,0,6,4,16,18,0,28
"WBGene00040760__Cni-mab-20",132,94,64,14,42,30,94,91,16,136,294,30
"WBGene00040761__Cnig_chr_I.g563",44,22,40,32,0,0,6,8,0,0,10,0
"WBGene00040762__Cni-Y71G12B.32",16,18,30,0,16,0,38,0,28,24,0,0
"WBGene00040764__Cnig_chr_I.g72",2055,2548,1708,226,344,340,54,16,10,54,90,26
"WBGene00040767__Cnig_chr_I.g70",891,1224,919,441,624,464,148,124,106,292,188,186
"WBGene00040768__Cni-Y71G12B.17",435,634,491,477,578,499,253,188,208,372,208,316
"WBGene00270358__Cnig_chr_I.g68",30,94,34,32,14,28,74,48,48,12,114,30
"WBGene00040769__Cnig_chr_I.g67",34,32,0,14,6,0,0,40,0,32,0,36
"WBGene00040770__Cni-drag-1",18,26,38,30,58,14,32,12,30,40,28,42
"WBGene00040771__Cnig_chr_I.g64",0,28,14,22,32,10,66,86,40,32,0,32
"WBGene00040772__Cni-ubc-3",566,712,552,292,458,339,656,576,464,710,1026,622
"WBGene00040774__Cnig_chr_I.g60",342,284,160,180,150,114,276,362,292,573,320,259
"WBGene00040775__Cnig_chr_I.g59",136,196,130,38,102,124,110,82,52,108,254,106
"WBGene00040776__Cni-tln-1",2072,1930,1619,630,567,428,1740,1736,1273,2773,3610,2368
"WBGene00040777__Cni-pqn-88",0,2,48,2,0,50,18,16,56,50,0,0
"WBGene00040778__Cnig_chr_I.g56",88,60,52,48,0,10,16,60,26,46,62,62
"WBGene00040779__Cni-cpx-1",186,250,116,36,84,105,144,221,142,314,332,144
"WBGene00040780__Cni-Y73E7A.2",118,200,184,16,36,48,50,76,72,10,50,34
"WBGene00040781__Cni-Y73E7A.6",102,218,152,54,20,24,64,90,8,42,58,0
"WBGene00040784__Cni-adpr-1",164,148,242,66,80,44,112,54,154,134,148,70
"WBGene00040785__Cni-Y73E7A.8",6,0,6,0,6,8,10,0,0,0,46,0
"WBGene00040786__Cni-Y73E7A.1",484,552,384,289,349,146,264,312,186,234,272,294
"WBGene00040787__Cni-bre-4",290,348,396,233,192,219,135,124,142,270,268,208
"WBGene00040788__Cni-ddx-27",294,424,136,172,92,188,270,416,204,166,168,78
"WBGene00040788__Cni-Y71G12B.26",294,424,136,172,92,188,270,416,204,166,168,78
"WBGene00040788__Cni-Y71G12B.25",294,424,136,172,92,188,270,416,204,166,168,78
"WBGene00040788__Cnig_chr_I.g45",294,424,136,172,92,188,270,416,204,166,168,78
"WBGene00040791__Cni-lin-65",290,264,208,74,61,58,172,244,116,206,102,144
"WBGene00040792__Cni-Y71G12B.10",392,654,446,252,310,224,164,206,170,265,157,206
"WBGene00040793__Cni-mppa-1",268,326,284,100,198,116,162,190,84,102,0,168
"WBGene00040794__Cnig_chr_I.g41",12,30,0,0,0,0,0,0,12,0,0,0
"WBGene00040795__Cnig_chr_I.g40",50,30,36,16,28,24,46,76,12,46,102,36
"WBGene00040797__Cnig_chr_I.g38",761,984,500,60,98,74,14,0,14,0,0,54
"WBGene00040801__Cni-M04C9.3",168,198,150,46,10,22,32,78,14,42,0,24
"WBGene00040802__Cni-dyf-5",19,4,10,2,4,6,44,10,6,18,0,12
"WBGene00040803__Cni-ppfr-1",1271,833,860,315,190,155,293,372,172,466,476,266
"WBGene00040805__Cni-rtcb-1",151,222,132,146,80,154,190,222,182,190,324,198
"WBGene00040806__Cni-F16A11.1",442,380,336,78,130,70,328,239,191,436,466,378
"WBGene00040807__Cni-F26A3.1",108,154,138,80,88,54,194,212,192,163,180,58
"WBGene00040808__Cni-ncbp-2",209,352,164,60,152,150,82,164,80,138,182,132
"WBGene00040809__Cnig_chr_I.g24",642,1176,898,86,158,106,2,10,0,8,50,10
"WBGene00040810__Cnig_chr_I.g22",560,742,528,0,8,10,0,0,0,0,0,0
"WBGene00040812__Cni-pghm-1",778,1002,698,512,665,393,962,1943,1032,1935,2342,1402
"WBGene00086600__Cnig_chr_I.g18",504,594,397,302,210,140,112,148,82,94,64,48
"WBGene00040815__Cni-chaf-2",120,90,44,32,28,20,116,140,86,134,40,52
"WBGene00040816__Cnig_chr_I.g15",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00040817__Cnig_chr_I.g9",0,10,0,0,0,0,0,0,0,0,0,0
"WBGene00040818__Cni-nlp-12",114,177,166,56,100,28,144,188,68,287,262,156
"WBGene00040820__Cni-egl-30",687,671,558,282,168,146,358,368,328,481,508,362
"WBGene00040821__Cni-rpl-27",3533,5346,3573,4738,6158,5816,5060,5934,4281,4570,3235,2800
"WBGene00040822__Cni-C53H9.2",756,796,542,533,592,620,1166,2162,1488,652,635,558
"WBGene00040825__Cni-tag-96",246,154,118,48,44,0,42,48,42,18,78,30
"WBGene00040826__Cni-tub-2",720,490,412,42,182,128,256,346,334,530,722,216
"WBGene00040827__Cni-scm-1",400,454,378,172,283,228,367,599,371,490,741,496
"WBGene00040828__Cnig_chr_I.g1613",44,2,34,14,34,16,20,24,2,14,26,0
"WBGene00040829__Cni-Y71G12A.4",552,420,448,176,290,185,66,48,88,98,229,166
"WBGene00040830__Cni-Y71G12B.33",164,120,54,10,6,22,10,16,22,0,0,0
"WBGene00040831__Cnig_chr_I.g635",76,58,0,8,6,0,0,0,6,4,42,6
"WBGene00086604__Cnig_chr_I.g639",1,0,24,0,0,2,0,0,0,0,0,2
"WBGene00040832__Cni-Y71G12B.6",82,123,78,4,39,24,30,28,4,8,0,68
"WBGene00040833__Cnig_chr_I.g641",0,0,0,0,1,0,0,0,0,0,0,0
"WBGene00040835__Cni-ain-2",420,403,370,179,212,70,538,512,345,512,992,361
"WBGene00040836__Cni-ptps-1",26,34,26,38,65,106,34,28,40,49,80,40
"WBGene00040837__Cni-B0041.5",144,331,142,83,132,164,262,202,156,234,403,186
"WBGene00040838__Cni-B0041.8",198,262,152,58,52,46,104,104,68,10,18,70
"WBGene00040839__Cni-rpl-4",10604,13499,9787,9285,9187,6031,12164,15957,10722,9548,9634,8421
"WBGene00040840__Cni-lmd-2",48,57,34,28,48,14,25,54,59,47,148,85
"WBGene00040841__Cni-Y119C1A.1",178,184,58,176,128,98,78,128,92,108,186,82
"WBGene00040842__Cnig_chr_I.g651",1402,1810,1090,953,1290,1060,646,581,582,708,384,370
"WBGene00040843__Cni-C44E4.4",1543,2198,1202,1004,1677,1524,696,654,540,1143,664,892
"WBGene00040849__Cnig_chr_I.g655",62,36,36,0,0,2,0,12,2,14,2,0
"WBGene00040852__Cnig_chr_I.g657",202,210,90,0,6,10,10,18,4,6,0,28
"WBGene00040853__Cni-syp-3",224,252,84,138,124,36,176,194,134,80,28,46
"WBGene00040855__Cni-D1007.15",200,120,152,42,20,33,62,132,78,66,240,84
"WBGene00040856__Cni-Y119C1B.10",48,24,0,0,0,6,14,14,0,26,8,6
"WBGene00040857__Cni-pqn-24",456,428,374,110,108,132,377,485,457,1019,1906,628
"WBGene00040858__Cni-D1007.13",38,2,10,8,6,0,0,0,0,0,0,0
"WBGene00040860__Cnig_chr_I.g663",950,1164,862,577,515,470,412,510,305,728,362,458
"WBGene00040861__Cnig_chr_I.g666",10,0,0,1,14,2,6,6,4,4,0,0
"WBGene00040862__Cni-src-1",354,370,240,159,134,142,462,385,237,404,562,330
"WBGene00040862__Cnig_chr_I.g674",354,370,240,159,134,142,462,385,237,404,562,330
"WBGene00040866__Cni-Y73E7A.3",72,162,88,38,44,30,64,50,128,16,68,30
"WBGene00040868__Cni-C44E4.5",278,228,116,64,82,116,170,236,180,144,136,112
"WBGene00040869__Cnig_chr_I.g696",168,150,158,62,34,42,66,38,32,34,0,32
"WBGene00040870__Cni-eaf-1",505,584,510,102,208,170,192,226,134,254,426,235
"WBGene00040871__Cni-nrd-1",472,450,310,172,134,46,343,365,252,344,434,288
"WBGene00040872__Cni-D1007.19",2,12,10,22,20,0,48,26,10,0,34,14
"WBGene00040873__Cni-D1007.10",6,16,58,0,6,26,20,18,10,0,0,12
"WBGene00040874__Cni-rpl-24.1",4554,6142,3756,4951,5758,3783,5177,6809,4220,4545,3399,4387
"WBGene00040875__Cni-rps-10",3750,5414,3610,4219,5290,3390,4976,6540,4382,3966,3112,3456
"WBGene00040876__Cni-D1007.5",164,208,104,83,100,52,74,98,54,130,274,18
"WBGene00040877__Cni-D1007.4",35,56,42,48,16,2,2,10,2,0,0,0
"WBGene00040878__Cni-D1007.18",52,6,6,0,18,8,0,16,0,0,0,16
"WBGene00040880__Cnig_chr_I.g683",0,0,0,0,0,0,0,12,0,0,0,10
"WBGene00040881__Cni-Y92H12A.4",556,566,510,236,140,292,314,318,307,265,332,204
"WBGene00040882__Cnig_chr_I.g680",600,502,566,326,200,146,402,468,428,522,350,503
"WBGene00040883__Cni-F37F2.2",306,374,150,144,146,176,224,188,122,170,210,104
"WBGene00040884__Cnig_chr_I.g704",8403,8276,6952,5404,4471,4568,2364,1936,1882,3876,2777,2888
"WBGene00040885__Cnig_chr_I.g705",84,90,42,48,0,12,92,158,58,96,24,116
"WBGene00040886__Cnig_chr_I.g706",34,32,32,6,56,58,58,64,34,62,60,76
"WBGene00040890__Cnig_chr_I.g751",624,630,414,164,246,222,546,659,510,547,636,520
"WBGene00040891__Cni-xnp-1",1318,1685,1264,828,701,570,1125,1036,985,1032,1099,584
"WBGene00040892__Cnig_chr_I.g753",317,252,284,204,194,194,54,64,32,36,108,100
"WBGene00040895__Cni-chd-7",1274,692,872,306,166,134,689,582,498,637,1169,643
"WBGene00270395__Cnig_chr_I.g778",108,32,20,4,20,20,26,32,14,14,90,20
"WBGene00040898__Cnig_chr_I.g779",22,80,8,0,10,26,10,12,42,40,56,0
"WBGene00040901__Cni-R119.3",190,146,183,145,78,77,122,144,138,83,46,78
"WBGene00035432__Cni-Y92H12BR.2",108,144,158,0,4,12,42,0,0,38,64,2
"WBGene00035432__Cni-set-29",108,144,158,0,4,12,42,0,0,38,64,2
"WBGene00035434__Cni-Y92H12BR.7",46,118,114,40,11,12,36,62,22,42,104,12
"WBGene00035435__Cnig_chr_I.g785",96,110,146,0,14,2,10,14,4,12,0,0
"WBGene00035436__Cnig_chr_I.g784",162,162,150,44,82,53,88,110,80,136,146,106
"WBGene00035437__Cnig_chr_I.g783",298,485,250,411,416,298,710,1022,634,454,424,208
"WBGene00035248__Cnig_chr_I.g794",1121,872,1015,530,346,348,648,1220,728,1294,1449,684
"WBGene00035248__Cni-gcy-28",1121,872,1015,530,346,348,648,1220,728,1294,1449,684
"WBGene00035249__Cni-egg-6",0,0,0,0,0,0,26,34,0,22,0,2
"WBGene00035251__Cnig_chr_I.g799",0,4,0,0,10,22,10,34,14,10,42,0
"WBGene00035252__Cnig_chr_I.g800",0,14,8,14,100,66,50,176,78,26,0,38
"WBGene00035253__Cni-K07A12.1",792,870,604,162,125,166,216,466,337,326,278,177
"WBGene00035254__Cni-F39H2.3",152,262,60,86,156,80,106,90,66,152,92,68
"WBGene00035255__Cni-mrpl-19",144,280,201,112,103,84,112,78,98,132,2,100
"WBGene00035256__Cni-Y119C1B.5",559,616,597,894,736,686,386,376,322,614,840,374
"WBGene00086614__Cni-flp-22",572,854,660,234,380,288,504,849,574,897,1315,770
"WBGene00035261__Cni-bet-1",910,973,696,301,358,353,699,901,599,768,1026,546
"WBGene00035263__Cni-Y119C1B.6",10,44,44,60,86,38,48,58,22,30,270,40
"WBGene00035263__Cnig_chr_I.g815",10,44,44,60,86,38,48,58,22,30,270,40
"WBGene00035264__Cni-ostd-1",583,588,486,384,313,290,356,558,482,544,700,450
"WBGene00035264__Cnig_chr_I.g819",583,588,486,384,313,290,356,558,482,544,700,450
"WBGene00035267__Cnig_chr_I.g825",516,550,296,272,196,150,419,446,318,274,222,178
"WBGene00035269__Cni-M01E11.2",350,570,306,133,228,240,346,230,317,237,178,88
"WBGene00035270__Cnig_chr_I.g831",448,378,196,38,42,76,28,32,66,90,186,34
"WBGene00035271__Cnig_chr_I.g833",498,378,344,343,277,144,312,586,357,406,570,468
"WBGene00035271__Cnig_chr_I.g835",498,378,344,343,277,144,312,586,357,406,570,468
"WBGene00035273__Cni-F46F11.8",312,342,262,62,92,48,102,140,82,66,29,40
"WBGene00035275__Cni-F46F11.7",10,90,0,0,6,10,18,0,12,0,54,0
"WBGene00035276__Cni-F46F11.6",154,266,142,162,122,162,205,239,148,294,224,242
"WBGene00035277__Cnig_chr_I.g840",344,635,386,318,394,354,401,346,412,548,704,409
"WBGene00035277__Cnig_chr_I.g841",344,635,386,318,394,354,401,346,412,548,704,409
"WBGene00035277__Cni-trpp-8",344,635,386,318,394,354,401,346,412,548,704,409
"WBGene00035279__Cni-vha-10",1357,2141,1040,1646,2037,1975,1934,1410,1358,1593,2243,1244
"WBGene00035280__Cnig_chr_I.g851",112,160,28,122,104,66,160,104,82,128,120,110
"WBGene00035282__Cni-tns-1",490,588,290,217,192,149,370,360,286,410,686,344
"WBGene00035282__Cnig_chr_I.g853",490,588,290,217,192,149,370,360,286,410,686,344
"WBGene00035283__Cnig_chr_I.g854",1212,1334,878,818,886,778,434,428,384,716,606,388
"WBGene00035285__Cni-col-53",20,24,26,0,0,0,18,0,8,5,52,26
"WBGene00035286__Cni-F55F8.8",0,20,8,12,14,0,16,0,20,10,0,0
"WBGene00035287__Cni-F55F8.9",470,464,350,270,240,178,280,211,140,186,246,134
"WBGene00035288__Cni-T19B4.5",200,486,308,162,112,172,186,422,272,222,320,80
"WBGene00035289__Cni-dnj-21",404,322,230,176,212,170,120,152,113,223,116,40
"WBGene00035290__Cni-T19B4.3",552,826,475,275,336,336,284,390,233,502,404,218
"WBGene00035290__Cni-unc-40",552,826,475,275,336,336,284,390,233,502,404,218
"WBGene00035292__Cni-npp-7",1158,895,946,351,286,177,917,1222,918,610,1068,327
"WBGene00035293__Cni-pamn-1",436,508,537,662,639,612,610,764,486,622,550,576
"WBGene00035294__Cni-ptr-10",20,4,32,2,10,0,0,32,14,4,24,0
"WBGene00035295__Cni-mff-2",50,190,60,162,52,110,86,84,144,138,156,158
"WBGene00035296__Cni-wdr-12",154,289,214,234,358,302,317,334,406,361,90,168
"WBGene00270357__Cni-cir-1",548,566,390,202,222,163,326,474,346,146,358,302
"WBGene00035297__Cni-F55F8.3",346,534,266,406,280,152,463,595,396,280,210,142
"WBGene00035304__Cni-Y47G6A.3",299,322,214,110,44,168,52,24,48,106,102,18
"WBGene00035306__Cni-Y47G6A.33",276,371,184,78,172,234,218,46,72,140,140,90
"WBGene00035308__Cnig_chr_I.g875",84,124,44,70,108,37,100,143,67,119,62,113
"WBGene00035310__Cni-rnp-6",728,892,590,508,340,620,642,727,646,644,694,336
"WBGene00035311__Cni-Y47G6A.5",90,158,198,96,28,60,106,122,78,194,178,80
"WBGene00035312__Cni-Y47G6A.19",82,194,36,64,42,28,192,104,77,50,0,16
"WBGene00035312__Cni-pcaf-1",82,194,36,64,42,28,192,104,77,50,0,16
"WBGene00035314__Cni-Y47G6A.18",1566,1652,1432,893,827,660,525,562,406,746,1258,459
"WBGene00035315__Cni-Y47G6A.7",82,85,77,136,38,98,135,162,80,326,316,76
"WBGene00035316__Cni-ccep-290",32,12,22,8,8,2,24,40,28,20,0,0
"WBGene00035317__Cnig_chr_I.g885",542,678,362,268,216,290,72,88,44,134,0,156
"WBGene00035318__Cnig_chr_I.g886",2594,1996,1612,1051,755,724,450,369,532,639,272,380
"WBGene00035319__Cni-crn-1",130,258,136,78,64,102,152,168,110,96,18,38
"WBGene00035320__Cni-Y47G6A.9",58,101,91,94,92,92,87,63,124,58,152,126
"WBGene00035321__Cnig_chr_I.g890",1823,2138,1562,945,846,868,478,446,517,796,634,552
"WBGene00035322__Cni-Y47G6A.14",32,10,64,84,12,52,2,0,8,8,0,0
"WBGene00035324__Cnig_chr_I.g893",736,696,638,188,224,109,762,964,644,906,1542,594
"WBGene00035325__Cnig_chr_I.g899",146,186,152,153,130,178,190,219,234,214,344,124
"WBGene00035326__Cnig_chr_I.g901",623,616,518,501,841,594,1455,1324,951,1990,2628,1739
"WBGene00035327__Cni-neto-1",28,10,24,68,10,84,36,62,18,80,70,22
"WBGene00035328__Cnig_chr_I.g903",816,737,670,284,314,314,410,585,268,344,382,150
"WBGene00035329__Cni-Y47G6A.13",86,176,82,30,20,26,114,80,132,60,86,6
"WBGene00035329__Cni-tag-63",86,176,82,30,20,26,114,80,132,60,86,6
"WBGene00035331__Cni-msh-6",492,920,554,154,104,114,440,542,422,126,156,104
"WBGene00086626__Cni-W05F2.6",126,110,108,0,4,0,12,14,0,4,0,14
"WBGene00035333__Cni-W05F2.3",38,76,40,18,70,64,68,66,66,94,50,68
"WBGene00035335__Cni-ace-2",180,135,108,26,44,48,108,176,80,138,288,176
"WBGene00035336__Cnig_chr_I.g929",2810,3166,2164,1596,1844,1938,696,836,637,1449,1000,754
"WBGene00035337__Cni-Y44E3A.6",476,567,480,300,276,180,510,458,412,476,546,254
"WBGene00035338__Cni-Y44E3A.1",2,42,1,20,14,4,72,32,36,39,190,8
"WBGene00035339__Cni-Y44E3A.4",304,302,302,112,122,144,306,366,307,404,464,234
"WBGene00035340__Cni-trx-4",136,184,129,24,70,46,94,44,82,108,32,100
"WBGene00035341__Cni-W01B11.6",208,258,152,136,114,314,118,44,92,126,94,88
"WBGene00035342__Cni-sulp-6",550,590,313,266,228,308,216,156,128,240,134,138
"WBGene00086630__Cnig_chr_I.g938",45,84,40,20,32,4,46,16,23,16,0,0
"WBGene00035345__Cni-cdt-1",106,180,126,34,44,84,139,120,97,48,120,34
"WBGene00035346__Cni-txl-1",692,1058,690,710,748,823,838,706,628,688,832,508
"WBGene00035347__Cni-cogc-1",784,894,562,692,498,678,452,532,456,525,330,420
"WBGene00035347__Cni-mab-31",784,894,562,692,498,678,452,532,456,525,330,420
"WBGene00035347__Cnig_chr_I.g950",784,894,562,692,498,678,452,532,456,525,330,420
"WBGene00035349__Cni-tyr-5",772,1082,850,208,220,208,46,60,38,42,94,24
"WBGene00035350__Cni-nol-5",1170,1948,1098,986,1332,1118,2190,1986,1977,692,908,609
"WBGene00035351__Cni-pqn-72",168,79,67,2,4,8,46,22,52,14,0,4
"WBGene00035352__Cni-ctn-1",146,194,214,84,62,94,200,202,156,272,226,118
"WBGene00035353__Cni-spe-47",1722,1802,1302,966,1152,1200,461,430,435,743,716,506
"WBGene00035354__Cni-Y23H5A.3",236,248,260,106,128,136,186,194,228,84,34,42
"WBGene00035355__Cni-Y23H5A.2",22,55,50,8,30,6,18,22,44,0,14,10
"WBGene00270849__Cni-cars-1",449,525,507,432,284,430,369,504,239,349,524,198
"WBGene00026838__Cni-W03D8.11",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00026839__Cni-W03D8.5",456,534,329,198,270,262,97,82,70,84,120,214
"WBGene00026840__Cni-itx-1",356,266,248,160,46,64,246,284,206,384,454,157
"WBGene00026841__Cnig_chr_I.g986",276,404,342,200,110,140,46,6,34,28,104,2
"WBGene00026842__Cni-ZK973.8",534,386,292,246,240,266,64,82,66,128,242,46
"WBGene00026843__Cnig_chr_I.g983",90,144,44,30,16,68,30,106,32,64,146,38
"WBGene00086669__Cnig_chr_I.g982",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00086670__Cnig_chr_I.g981",437,600,354,266,253,514,148,56,81,230,154,72
"WBGene00026844__Cni-cpz-1",3057,3666,2513,2147,2498,2449,1350,2364,1407,2940,3424,1493
"WBGene00026845__Cni-F32B5.7",159,120,66,25,56,66,215,164,128,338,400,122
"WBGene00026846__Cni-F32B5.6",1080,894,883,532,463,415,434,668,455,814,942,766
"WBGene00026847__Cni-F32B5.2",8,20,20,18,10,0,24,0,0,0,0,26
"WBGene00026848__Cni-lin-17",156,120,96,58,44,34,196,314,200,178,342,144
"WBGene00270403__Cni-dnj-30",198,326,200,124,132,126,170,204,152,91,86,76
"WBGene00026849__Cni-Y71F9B.6",150,184,124,94,60,100,132,64,100,96,208,24
"WBGene00026850__Cni-snr-7",242,270,177,346,476,478,456,602,301,332,78,230
"WBGene00026851__Cni-yop-1",827,862,792,550,437,506,671,781,496,990,1448,516
"WBGene00026852__Cni-Y71F9B.2",140,150,94,76,54,64,54,78,60,12,0,12
"WBGene00026853__Cni-lron-11",70,30,98,24,60,18,84,62,46,36,68,38
"WBGene00026856__Cni-Y71F9B.9",114,112,146,82,52,100,90,178,148,42,294,86
"WBGene00026857__Cni-sop-3",634,793,496,271,238,166,320,649,372,500,372,218
"WBGene00026857__Cni-Y71F9B.1",634,793,496,271,238,166,320,649,372,500,372,218
"WBGene00026858__Cni-Y71F9B.13",210,198,178,54,101,100,216,196,134,99,162,26
"WBGene00026859__Cni-F40E3.5",312,478,368,356,304,372,212,192,146,280,127,164
"WBGene00026860__Cni-tofu-4",128,140,136,18,22,10,30,30,30,18,0,0
"WBGene00026861__Cni-htp-3",780,651,614,30,38,14,37,65,18,10,68,20
"WBGene00026862__Cni-mage-1",161,316,240,62,48,60,165,185,81,84,112,72
"WBGene00026954__Cnig_chr_I.g991",464,748,540,508,492,472,166,144,164,292,102,214
"WBGene00026953__Cni-pop-1",128,218,136,108,86,12,90,88,70,121,160,95
"WBGene00026952__Cni-ccb-2",0,6,12,0,14,14,22,1,0,0,0,8
"WBGene00026951__Cni-W10C8.4",20,18,69,2,0,14,4,30,18,14,92,0
"WBGene00026950__Cnig_chr_I.g996",16893,18146,13236,11645,13715,12281,4745,3725,3396,8507,7910,5341
"WBGene00026949__Cni-W10C8.6",22,24,12,0,0,0,18,22,12,18,2,6
"WBGene00026948__Cni-Y71F9AL.10",288,319,442,209,234,155,381,470,326,389,666,304
"WBGene00026947__Cni-Y71F9AL.12",192,222,66,60,124,50,134,130,66,36,0,90
"WBGene00026946__Cni-rpl-1",7498,9533,6016,8423,11523,9702,9993,11429,8808,7918,6702,5718
"WBGene00026945__Cni-Y71F9AL.9",1737,2118,1549,1370,1472,1142,1020,1283,949,1549,1889,1057
"WBGene00026944__Cnig_chr_I.g1004",76,52,114,0,8,0,0,44,0,12,0,0
"WBGene00026943__Cni-dnc-5",149,174,118,84,94,118,130,240,144,151,438,82
"WBGene00026942__Cni-arx-1",436,542,356,354,354,338,427,615,358,382,496,428
"WBGene00026941__Cni-copa-1",4935,5105,4089,3872,3054,2632,2961,3084,2288,3361,3145,1990
"WBGene00026940__Cnig_chr_I.g1009",1250,1506,1150,1337,929,919,1042,840,624,1114,888,486
"WBGene00026939__Cni-Y71F9AL.1",125,52,78,76,92,102,76,112,83,110,34,54
