"","Cni.Cbr.x","Cbr.ZZY10330_h1","Cni.ZZY10330_h1","cis_trans.x","inheritance.x","logFC.ZZY10330.vs.Cbr","logFC.ZZY10330.vs.Cni","logFC.species.x","position.x","chromosome.x","introgression.x","Inheritance_sum.x","cis_trans_sum.x","Cni.Cbr.y","Cbr.ZZY10307_h2","Cni.ZZY10307_h2","cis_trans.y","inheritance.y","logFC.ZZY10307.vs.Cbr","logFC.ZZY10307.vs.Cni","logFC.species.y","position.y","chromosome.y","introgression.y","Inheritance_sum.y","cis_trans_sum.y"
"WBGene00023546__Cnig_chr_III.g11454",1,0,0,"ambiguous","ambiguous",2.08198652991257,-0.000427516440245109,2.1287769506833,13118913,"III","C. nigoni background","Ambiguous","Ambiguous",1,1,0,"no effect","C. nigoni dominant",1.68099644320655,-0.456463235475199,2.1287769506833,13118913,"III","C. nigoni background","Cni dominant","No change"
"WBGene00023547__Cni-cdh-3",0,0,0,"conserved","no change",1.81040023972328,2.20432606592387,-0.347507843468015,13193161,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.881800097156744,1.21543739003798,-0.347507843468015,13193161,"III","C. nigoni background","No change","Conserved"
"WBGene00023548__Cnig_chr_III.g11461",0,0,0,"conserved","no change",0.254323642510948,0.159807754619215,0.14965321367908,13180853,"III","C. nigoni background","No change","Conserved",0,1,1,"compensatory trans up","overdominant",1.15522870924456,0.993052492640112,0.14965321367908,13180853,"III","C. nigoni background","Overdominant","Compensatory"
"WBGene00023552__Cni-pqn-18",0,0,0,"conserved","no change",0.469457420884437,0.919046771567741,-0.395724122925102,14928149,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.0159721500999886,0.399470900214525,-0.395724122925102,14928149,"X","C. nigoni background","No change","Conserved"
"WBGene00023553__Cni-gpc-1",0,0,0,"conserved","no change",0.359994258972059,0.699977224494045,-0.264953491413996,14963324,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.142942867871347,0.114723398632072,-0.264953491413996,14963324,"X","C. nigoni background","No change","Conserved"
"WBGene00023554__Cni-bcat-1",0,1,0,"ambiguous","ambiguous",0.662829393090895,0.366053626814639,0.352832694505106,14967435,"X","C. nigoni background","Ambiguous","Ambiguous",0,1,0,"ambiguous","ambiguous",0.445334568675274,0.0838502031998152,0.352832694505106,14967435,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023555__Cni-T14G8.3",-1,0,0,"ambiguous","ambiguous",-0.332719319727693,0.574431005654986,-0.852723440829217,14976097,"X","C. nigoni background","Ambiguous","Ambiguous",-1,0,0,"ambiguous","ambiguous",-0.533346600587826,0.309898130972627,-0.852723440829217,14976097,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023555__Cni-T14G8.4",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.353126044503316,1.84034739028423,-2.13955173150882,14982995,"X","C. nigoni background","Cbr dominant","trans-only",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.639327235750123,1.48591421683767,-2.13955173150882,14982995,"X","C. nigoni background","Cbr dominant","trans-only"
"WBGene00023555__Cnig_chr_X.g25007",-1,-1,0,"no effect","C. nigoni dominant",-4.45943651651592,1.41242941608622,-5.86715920887385,14985087,"X","C. nigoni background","Cni dominant","No change",-1,-1,0,"no effect","C. nigoni dominant",-4.57654206982826,1.24635191306852,-5.86715920887385,14985087,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023555__Cnig_chr_X.g25008",-1,-1,0,"no effect","C. nigoni dominant",-4.13622857349844,-1.10384996950606,-2.99331503039999,14986203,"X","C. nigoni background","Cni dominant","No change",-1,-1,0,"no effect","C. nigoni dominant",-3.34512025860529,-0.347561912150466,-2.99331503039999,14986203,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023559__Cnig_chr_X.g25018",0,0,0,"conserved","no change",1.02022550084802,-0.871712798505169,1.9434316323294,15025801,"X","C. nigoni background","No change","Conserved",0,0,-1,"ambiguous","ambiguous",-1.95194890345744,-3.92511612275607,1.9434316323294,15025801,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023562__Cni-C52G5.2",0,0,0,"conserved","no change",-1.1652763291341,-0.9780388708704,-0.131589117576979,15031670,"X","C. nigoni background","No change","Conserved",0,-1,0,"ambiguous","ambiguous",-1.34404630566527,-1.22088712637828,-0.131589117576979,15031670,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023564__Cni-gei-3",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.321903601870603,0.921544077751964,-1.18437518581087,15058343,"X","C. nigoni background","Cbr dominant","trans-only",-1,-1,0,"no effect","C. nigoni dominant",-0.545583936749938,0.629306984575204,-1.18437518581087,15058343,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023565__Cni-abf-6",0,0,0,"conserved","no change",-0.501721035289347,0.35539543325245,-0.805604755743097,15077635,"X","C. nigoni background","No change","Conserved",0,-1,0,"ambiguous","ambiguous",-1.63445314488945,-0.838792678499227,-0.805604755743097,15077635,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023566__Cni-abf-5",0,0,0,"conserved","no change",0.754800461429159,0.676441959256849,0.125176369187628,15079897,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.705492792139734,-0.845403460453678,0.125176369187628,15079897,"X","C. nigoni background","No change","Conserved"
"WBGene00023569__Cni-alh-13",1,1,0,"no effect","C. nigoni dominant",1.23407088443607,0.352201575674087,0.935174846354805,15088466,"X","C. nigoni background","Cni dominant","No change",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",-0.640510931722483,-1.5848036164614,0.935174846354805,15088466,"X","C. nigoni background","Cbr dominant","trans-only"
"WBGene00023571__Cni-cept-1",1,-1,-1,"C. briggsae partial trans down","underdominant",-3.95896633345949,-5.32976477036808,1.4145784030566,15108062,"X","C. nigoni background","Underdominant","cis-trans",1,-1,-1,"C. briggsae partial trans down","underdominant",-6.33235999578767,-7.79186163780042,1.4145784030566,15108062,"X","C. nigoni background","Underdominant","cis-trans"
"WBGene00023572__Cnig_chr_X.g25029",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",-5.06282885244833,-9.23226997042373,4.20229752924408,15115512,"X","C. nigoni background","Cbr dominant","trans-only",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",-1.35151558435283,-5.50959561383793,4.20229752924408,15115512,"X","C. nigoni background","Cbr dominant","trans-only"
"WBGene00023573__Cnig_chr_X.g25030",0,-1,-1,"compensatory trans down","underdominant",-7.42924740322817,-6.71762886995554,-0.663942395720136,15122167,"X","C. nigoni background","Underdominant","Compensatory",0,-1,-1,"compensatory trans down","underdominant",-7.34120101118722,-6.68752485335571,-0.663942395720136,15122167,"X","C. nigoni background","Underdominant","Compensatory"
"WBGene00023574__Cnig_chr_X.g25034",0,0,0,"conserved","no change",-0.292016412768168,1.45305882931612,-1.69035506026508,15144401,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-1.18936935186726,0.504435531908562,-1.69035506026508,15144401,"X","C. nigoni background","No change","Conserved"
"WBGene00023575__Cnig_chr_X.g25035",-1,-1,0,"no effect","C. nigoni dominant",-2.89597755384167,0.0295457017179308,-2.86882825147809,15149565,"X","C. nigoni background","Cni dominant","No change",-1,-1,0,"no effect","C. nigoni dominant",-2.45978419926361,0.3974162494409,-2.86882825147809,15149565,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023576__Cnig_chr_X.g25038",-1,0,0,"ambiguous","ambiguous",-1.36930360104621,1.21949410825582,-2.53250100152073,15165291,"X","C. nigoni background","Ambiguous","Ambiguous",-1,0,0,"ambiguous","ambiguous",-1.15710615223283,1.36669597094409,-2.53250100152073,15165291,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023577__Cnig_chr_X.g25037",0,0,1,"ambiguous","ambiguous",1.09020562563259,2.2639974726345,-1.13076851938632,15157344,"X","C. nigoni background","Ambiguous","Ambiguous",0,0,0,"conserved","no change",-0.367589469719011,0.752582352868219,-1.13076851938632,15157344,"X","C. nigoni background","No change","Conserved"
"WBGene00023579__Cnig_chr_X.g25041",0,-1,-1,"compensatory trans down","underdominant",-7.90112119764591,-8.22185469693688,0.379097348379382,15188433,"X","C. nigoni background","Underdominant","Compensatory",0,-1,-1,"compensatory trans down","underdominant",-3.31599254347144,-3.70355054353857,0.379097348379382,15188433,"X","C. nigoni background","Underdominant","Compensatory"
"WBGene00023580__Cni-adt-1",0,1,0,"ambiguous","ambiguous",3.40237937546147,2.49431284538029,0.970589951204514,15196701,"X","C. nigoni background","Ambiguous","Ambiguous",0,0,0,"conserved","no change",1.76696674933887,0.78337031366163,0.970589951204514,15196701,"X","C. nigoni background","No change","Conserved"
"WBGene00023581__Cni-nhr-17",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",0.38352019907592,4.16182530449051,-3.73021454772783,15217408,"X","C. nigoni background","Cbr dominant","trans-only",-1,-1,0,"no effect","C. nigoni dominant",-1.77033932545368,1.94291887526454,-3.73021454772783,15217408,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023582__Cni-C02B4.4",0,0,0,"conserved","no change",-0.799568852236582,0.935808894998766,-1.65950817601611,15223765,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-1.97429523558867,-0.311844347312886,-1.65950817601611,15223765,"X","C. nigoni background","No change","Conserved"
"WBGene00023584__Cni-R09A8.5",0,0,0,"conserved","no change",0.926132490834522,1.521529011152,-0.555648558390905,15253833,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.265363228496166,0.277648012154728,-0.555648558390905,15253833,"X","C. nigoni background","No change","Conserved"
"WBGene00023585__Cni-col-182",0,0,1,"ambiguous","ambiguous",3.82274180892085,7.15718589042527,-3.2733205126256,15257667,"X","C. nigoni background","Ambiguous","Ambiguous",0,0,1,"ambiguous","ambiguous",2.53681927954934,5.79320736773678,-3.2733205126256,15257667,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023586__Cni-tag-147",-1,0,0,"ambiguous","ambiguous",-1.00129327593815,-0.122748022175195,-0.829184177478266,15266048,"X","C. nigoni background","Ambiguous","Ambiguous",-1,-1,-1,"C. briggsae partial trans down","underdominant",-1.65398748607623,-0.836565976602947,-0.829184177478266,15266048,"X","C. nigoni background","Underdominant","cis-trans"
"WBGene00023587__Cni-T24D5.2",0,0,0,"conserved","no change",0.172609072314522,1.502848259179,-1.29020166297228,15281582,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.510777385473874,0.759176058385603,-1.29020166297228,15281582,"X","C. nigoni background","No change","Conserved"
"WBGene00023589__Cni-npr-4",0,0,0,"conserved","no change",-0.714436682893802,-0.142834152722632,-0.510282537935414,15314128,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.356259789779308,0.145382421614295,-0.510282537935414,15314128,"X","C. nigoni background","No change","Conserved"
"WBGene00023591__Cnig_chr_X.g25059",0,0,1,"ambiguous","ambiguous",0.711247413713857,1.34185898029182,-0.575736101001349,15347089,"X","C. nigoni background","Ambiguous","Ambiguous",0,1,1,"compensatory trans up","overdominant",1.19465921651245,1.75700571312784,-0.575736101001349,15347089,"X","C. nigoni background","Overdominant","Compensatory"
"WBGene00023592__Cnig_chr_X.g25060",0,1,1,"compensatory trans up","overdominant",1.88119207694121,3.74005796476502,-1.80595269637803,15358854,"X","C. nigoni background","Overdominant","Compensatory",0,0,0,"conserved","no change",-1.02872173568613,0.764334765873289,-1.80595269637803,15358854,"X","C. nigoni background","No change","Conserved"
"WBGene00023593__Cni-tbc-13",0,0,0,"conserved","no change",-0.216449696151563,-0.761742541235332,0.601068726003122,15364633,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.253327043709341,-0.862782106145064,0.601068726003122,15364633,"X","C. nigoni background","No change","Conserved"
"WBGene00023594__Cni-atf-6",0,0,0,"conserved","no change",0.293930586512961,0.0939047955540054,0.244415586676189,15372639,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.0194186127630036,-0.23268621969158,0.244415586676189,15372639,"X","C. nigoni background","No change","Conserved"
"WBGene00023596__Cnig_chr_X.g25065",-1,1,1,"C. briggsae partial trans up","overdominant",0.609529228278014,1.67106915835611,-1.00352086616103,15381000,"X","C. nigoni background","Overdominant","cis-trans",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",0.280554894592946,1.27450691344573,-1.00352086616103,15381000,"X","C. nigoni background","Cbr dominant","trans-only"
"WBGene00023597__Cni-cdf-2",0,0,0,"conserved","no change",-0.630203787653952,0.307152662174093,-0.885193991205259,15389443,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.834097854338964,1.70186333695903,-0.885193991205259,15389443,"X","C. nigoni background","No change","Conserved"
"WBGene00023599__Cni-odr-7",0,0,0,"conserved","no change",0.226794438094865,1.1156756035045,-0.841456663129151,15393982,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-2.00647608498574,-1.18222526915167,-0.841456663129151,15393982,"X","C. nigoni background","No change","Conserved"
"WBGene00023600__Cnig_chr_X.g25069",0,0,0,"conserved","no change",-0.125341825687625,0.271528949342807,-0.336809677147065,15396701,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.30949663078384,0.629586422527727,-0.336809677147065,15396701,"X","C. nigoni background","No change","Conserved"
"WBGene00023602__Cni-T18D3.6",0,1,1,"compensatory trans up","overdominant",1.57954629835734,1.08021120276747,0.552854861074246,15403947,"X","C. nigoni background","Overdominant","Compensatory",0,1,0,"ambiguous","ambiguous",0.789802999469325,0.228024409912316,0.552854861074246,15403947,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023603__Cni-T18D3.7",0,0,0,"conserved","no change",0.272009634025048,0.851662241501577,-0.524730545754065,15412411,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.178478987174903,0.332760736512463,-0.524730545754065,15412411,"X","C. nigoni background","No change","Conserved"
"WBGene00023606__Cni-T24D3.2",0,-1,0,"ambiguous","ambiguous",-4.01522558471485,-3.26513514909483,-0.681511860960056,15447512,"X","C. nigoni background","Ambiguous","Ambiguous",0,-1,0,"ambiguous","ambiguous",-3.04532773447473,-2.37154180397213,-0.681511860960056,15447512,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023607__Cnig_chr_X.g25079",-1,0,0,"ambiguous","ambiguous",-0.516200431416951,1.43842927902524,-1.90810119200203,15459748,"X","C. nigoni background","Ambiguous","Ambiguous",-1,-1,0,"no effect","C. nigoni dominant",-1.74548140832753,0.153153720675482,-1.90810119200203,15459748,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023609__Cnig_chr_X.g25081",0,0,0,"conserved","no change",-0.0960156008741079,-0.151196571823554,0.102074385014543,15473766,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.429923920679898,-0.544675029723523,0.102074385014543,15473766,"X","C. nigoni background","No change","Conserved"
"WBGene00023610__Cni-nekl-3",1,1,0,"no effect","C. nigoni dominant",2.64380166290671,0.848422903014754,1.85090627901715,15481396,"X","C. nigoni background","Cni dominant","No change",1,1,0,"no effect","C. nigoni dominant",2.64091342103908,0.781705932401698,1.85090627901715,15481396,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023612__Cni-glb-13",0,0,0,"conserved","no change",1.1509949350117,0.29914737837992,0.900652160034671,15490688,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",1.11465997681026,0.20062508065905,0.900652160034671,15490688,"X","C. nigoni background","No change","Conserved"
"WBGene00023613__Cni-F19H6.5",0,0,-1,"ambiguous","ambiguous",-0.900894299087524,-1.25103641131492,0.406430233108242,15497742,"X","C. nigoni background","Ambiguous","Ambiguous",0,-1,-1,"compensatory trans down","underdominant",-3.25033055317527,-3.66073402558284,0.406430233108242,15497742,"X","C. nigoni background","Underdominant","Compensatory"
"WBGene00023614__Cni-F42F12.4",0,0,0,"conserved","no change",0.0560069074597505,-0.0434871315424833,0.153089561160544,15501147,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.322203936632346,-0.484140451431668,0.153089561160544,15501147,"X","C. nigoni background","No change","Conserved"
"WBGene00023615__Cnig_chr_X.g25088",0,0,0,"conserved","no change",0.34517567235454,0.163314001961163,0.238143896627281,15503505,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.470686914250614,-0.7221753891552,0.238143896627281,15503505,"X","C. nigoni background","No change","Conserved"
"WBGene00023626__Cni-tsp-11",0,0,0,"conserved","no change",-0.904535363502241,-0.417332591070853,-0.424859386671647,15588912,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.104777086739415,0.315130698839222,-0.424859386671647,15588912,"X","C. nigoni background","No change","Conserved"
"WBGene00023627__Cni-tmbi-4",-1,-1,0,"no effect","C. nigoni dominant",-1.86626850686162,0.804066214216537,-2.61024032041332,15595104,"X","C. nigoni background","Cni dominant","No change",-1,-1,0,"no effect","C. nigoni dominant",-2.34120966727501,0.256709458501428,-2.61024032041332,15595104,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023627__Cnig_chr_X.g25119",-1,0,0,"ambiguous","ambiguous",-0.85042536194631,0.610469391880479,-1.41428205156517,15602909,"X","C. nigoni background","Ambiguous","Ambiguous",-1,-1,0,"no effect","C. nigoni dominant",-1.59332870565105,-0.187010557119627,-1.41428205156517,15602909,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023630__Cnig_chr_X.g25120",0,1,0,"ambiguous","ambiguous",3.50084484798915,2.01665113823418,1.55664493519047,15609956,"X","C. nigoni background","Ambiguous","Ambiguous",0,0,0,"conserved","no change",2.09782454118668,0.539820887953347,1.55664493519047,15609956,"X","C. nigoni background","No change","Conserved"
"WBGene00023632__Cni-B0563.5",0,0,0,"conserved","no change",0.743362400655919,1.44908955688295,-0.641304150023904,15620280,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",1.16737674959636,1.80667654653089,-0.641304150023904,15620280,"X","C. nigoni background","No change","Conserved"
"WBGene00023633__Cni-B0563.6",0,0,1,"ambiguous","ambiguous",1.1891487203877,2.89157748360285,-1.65202083144964,15622576,"X","C. nigoni background","Ambiguous","Ambiguous",0,0,0,"conserved","no change",-0.453985534356022,1.17692363703903,-1.65202083144964,15622576,"X","C. nigoni background","No change","Conserved"
"WBGene00023634__Cnig_chr_X.g25124",-1,0,0,"ambiguous","ambiguous",-0.263649380077934,1.122510419944,-1.34491487702247,15639851,"X","C. nigoni background","Ambiguous","Ambiguous",-1,0,0,"ambiguous","ambiguous",-0.271789675755136,1.05749765955271,-1.34491487702247,15639851,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023636__Cnig_chr_X.g25126",-1,-1,0,"no effect","C. nigoni dominant",-1.52696437484286,1.26127339744738,-2.73429084963607,15652337,"X","C. nigoni background","Cni dominant","No change",-1,-1,0,"no effect","C. nigoni dominant",-2.11257543849434,0.611144101004464,-2.73429084963607,15652337,"X","C. nigoni background","Cni dominant","No change"
"WBGene00023636__Cnig_chr_X.g25127",-1,0,0,"ambiguous","ambiguous",-0.28993525826394,1.04482846115869,-1.27829341197145,15657953,"X","C. nigoni background","Ambiguous","Ambiguous",-1,0,0,"ambiguous","ambiguous",-0.507511845609639,0.76016699819642,-1.27829341197145,15657953,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023641__Cnig_chr_X.g25143",-1,-1,0,"no effect","C. nigoni dominant",-1.74036894285939,0.192413944019354,-1.88594627534578,15733420,"X","C. nigoni background","Cni dominant","No change",-1,0,0,"ambiguous","ambiguous",-0.686204831479907,1.18753238594492,-1.88594627534578,15733420,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023644__Cni-T25B6.1",0,0,0,"conserved","no change",1.51639385672745,0.802171853803644,0.77513450222422,15759334,"X","C. nigoni background","No change","Conserved",0,-1,-1,"compensatory trans down","underdominant",-6.84191151117589,-7.62385858528372,0.77513450222422,15759334,"X","C. nigoni background","Underdominant","Compensatory"
"WBGene00023645__Cni-nep-22",0,0,0,"conserved","no change",-0.185756258201616,-0.246318074727635,0.113191332872389,15766328,"X","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.501008327309391,-0.624576744130129,0.113191332872389,15766328,"X","C. nigoni background","No change","Conserved"
"WBGene00023646__Cni-snf-12",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",0.656449854852882,-2.30698856442074,3.02180992258607,15769898,"X","C. nigoni background","Cbr dominant","trans-only",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",-0.184799418201949,-3.20444383361764,3.02180992258607,15769898,"X","C. nigoni background","Cbr dominant","trans-only"
"WBGene00023648__Cnig_chr_X.g25154",1,1,0,"no effect","C. nigoni dominant",5.04500226755881,-1.29907814149067,6.35503038297168,15798513,"X","C. nigoni background","Cni dominant","No change",1,1,-1,"C. briggsae partial trans down","additive down",4.32138242791063,-2.08780047289402,6.35503038297168,15798513,"X","C. nigoni background","Additive","cis-trans"
"WBGene00023650__Cnig_chr_X.g25156",0,1,0,"ambiguous","ambiguous",4.75598161313917,0.878763861060919,3.95375139191811,15806665,"X","C. nigoni background","Ambiguous","Ambiguous",0,0,0,"conserved","no change",3.94200144970413,-0.0269841306881593,3.95375139191811,15806665,"X","C. nigoni background","No change","Conserved"
