"","Cni.Cbr","Cbr.ZZY10330_h1","Cni.ZZY10330_h1","cis_trans","inheritance","logFC.ZZY10330.vs.Cbr","logFC.ZZY10330.vs.Cni","logFC.species","position","chromosome","introgression","Inheritance_sum","cis_trans_sum"
"WBGene00033224__Cnig_chr_III.g11464",-1,0,0,"ambiguous","ambiguous",-2.41464722804097,5.25179806848875,-7.62174170283331,13226355,"III","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040078__Cni-F43C1.5",0,0,0,"conserved","no change",0.241096130835965,4.23233177092057,-3.95078888725272,13645164,"III","C. nigoni background","No change","Conserved"
"WBGene00040010__Cni-cutl-19",0,0,0,"conserved","no change",-0.798026085674831,0.360632066275434,-1.09843200146006,14190106,"III","C. nigoni background","No change","Conserved"
"WBGene00035479__Cnig_chr_III.g8487",-1,0,0,"ambiguous","ambiguous",-1.12839672180748,5.9561572633957,-7.05350677452706,589121,"III","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00030684__Cnig_chr_III.g9402",-1,0,0,"ambiguous","ambiguous",-2.22382900483914,5.88070647190038,-8.0767636896237,5070502,"III","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00271074__Cni-C24H11.5",0,0,0,"conserved","no change",-0.506147430767886,0.882650563441054,-1.3418678776135,6736002,"III","C. nigoni background","No change","Conserved"
"WBGene00034065__Cni-Y47D3B.6",0,0,0,"conserved","no change",1.52869162425506,6.77945158524656,-5.18915435830767,6971139,"III","C. nigoni background","No change","Conserved"
"WBGene00031428__Cni-C05B5.4",-1,0,0,"ambiguous","ambiguous",-0.704845233356511,5.06555743063549,-5.69802716867138,9800892,"III","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00029133__Cni-tax-4",0,0,0,"conserved","no change",0.827320917320254,6.14772081537716,-5.2664228701131,10757256,"III","C. nigoni background","No change","Conserved"
"WBGene00029020__Cni-dgk-3",-1,0,0,"ambiguous","ambiguous",-1.92948874588368,2.8988889138598,-4.74768418071322,10734371,"III","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00030796__Cni-R13A5.15",-1,0,0,"ambiguous","ambiguous",-2.34794953630446,1.56567815889031,-3.87994462437818,12816275,"III","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023752__Cnig_chr_IV.g12078",0,0,0,"conserved","no change",1.8486381291697,6.36458605428111,-4.48297812897654,449533,"IV","C. nigoni background","No change","Conserved"
"WBGene00034515__Cnig_chr_IV.g12138",0,0,0,"conserved","no change",0.0283944545918603,4.18498910843603,-4.12646163119096,704636,"IV","C. nigoni background","No change","Conserved"
"WBGene00034424__Cnig_chr_IV.g12190",-1,0,0,"ambiguous","ambiguous",0.458250616671103,6.45541292692656,-5.94713800827346,1041729,"IV","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00034427__Cnig_chr_IV.g12192",0,0,0,"conserved","no change",-1.78105272369596,1.25869204034276,-2.95696114156594,1081005,"IV","C. nigoni background","No change","Conserved"
"WBGene00034546__Cnig_chr_IV.g12375",-1,0,0,"ambiguous","ambiguous",0.0169038428142452,6.0430058491623,-5.96399133584792,1923785,"IV","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040274__Cni-Y57G11C.42",-1,0,0,"ambiguous","ambiguous",-0.390386587404784,6.13343653494167,-6.47895514766604,2138629,"IV","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00032756__Cnig_chr_IV.g12747",1,0,0,"ambiguous","ambiguous",6.34030669846249,-1.06947424983503,7.45900551303442,3822308,"IV","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00035399__Cnig_chr_IV.g12971",0,0,0,"conserved","no change",1.64400744998283,1.67303854463129,0.0245648932573992,4978692,"IV","C. nigoni background","No change","Conserved"
"WBGene00040388__Cnig_chr_IV.g13179",0,0,0,"conserved","no change",-1.2733090260768,0.738527153905738,-1.96573221890909,6172434,"IV","C. nigoni background","No change","Conserved"
"WBGene00028480__Cni-H01G02.3",-1,-1,0,"no effect","C. nigoni dominant",-3.37178092752663,5.58949100902431,-8.9033476366305,10056080,"IV","C. nigoni background","Cni dominant","No change"
"WBGene00025006__Cni-unc-30",-1,0,0,"ambiguous","ambiguous",-0.491046556818708,5.65839897969724,-6.07729222647057,11555869,"IV","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00024843__Cnig_chr_IV.g14703",0,0,0,"conserved","no change",-1.93315643391827,1.58242186032807,-3.41271126532713,12308549,"IV","C. nigoni background","No change","Conserved"
"WBGene00024842__Cni-T26C12.3",0,0,0,"conserved","no change",-1.14910247872659,1.45026150700923,-2.5357122836965,12309439,"IV","C. nigoni background","No change","Conserved"
"WBGene00024841__Cnig_chr_IV.g14705",0,0,0,"conserved","no change",0.530387670883167,2.49814071898209,-1.93008727612956,12319054,"IV","C. nigoni background","No change","Conserved"
"WBGene00037225__Cnig_chr_IV.g14909",-1,0,0,"ambiguous","ambiguous",-3.14484162603429,5.74110821126119,-8.85839781151661,13128793,"IV","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00037216__Cni-T25B9.3",0,0,0,"conserved","no change",-0.145423465951235,2.03225437717622,-2.10049925582482,13325147,"IV","C. nigoni background","No change","Conserved"
"WBGene00027096__Cni-F56C4.2",0,0,0,"conserved","no change",-0.252259685435813,1.91851272164878,-2.10050508315188,13574158,"IV","C. nigoni background","No change","Conserved"
"WBGene00037891__Cni-T01B11.1",1,0,0,"ambiguous","ambiguous",6.17482264773991,-0.5426765713775,6.77430622823406,15124020,"IV","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00042583__Cni-cdh-5",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.23451124348633,6.57685428082689,-6.77602218842231,16111240,"IV","C. nigoni background","Cbr dominant","trans-only"
"WBGene00032568__Cnig_chr_V.g16388",0,0,0,"conserved","no change",1.77448504928861,2.36119522641586,-0.509836052350893,307648,"V","C. nigoni background","No change","Conserved"
"WBGene00032566__Cnig_chr_V.g16390",0,0,1,"ambiguous","ambiguous",1.15723731657624,6.76594940052686,-5.56155731910092,309715,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00024704__Cni-F41E6.17",-1,0,0,"ambiguous","ambiguous",-1.84565972271115,4.29033508045769,-6.09154643066659,1585270,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00024099__Cnig_chr_V.g16828",0,0,0,"conserved","no change",-2.16411912638018,1.03361536157192,-3.12727775362202,1912360,"V","C. nigoni background","No change","Conserved"
"WBGene00024131__Cnig_chr_V.g16867",0,0,0,"conserved","no change",-0.137145138407271,2.32908014415883,-2.40547295382124,2004499,"V","C. nigoni background","No change","Conserved"
"WBGene00031801__Cnig_chr_V.g17545",-1,0,0,"ambiguous","ambiguous",-3.10738504176656,5.82744275361675,-8.8528553062504,4716562,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00031766__Cni-nhr-181",0,0,1,"ambiguous","ambiguous",2.91594194439488,6.04979821551566,-3.04837197516361,4547049,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00033120__Cnig_chr_V.g18014",0,0,1,"ambiguous","ambiguous",2.97385742259135,6.47549470639643,-3.43868859789354,6498672,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00028646__Cnig_chr_V.g18218",-1,0,0,"ambiguous","ambiguous",-1.84552077194983,2.04473804401803,-3.82117125177623,7301954,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00028903__Cnig_chr_V.g18503",0,0,0,"conserved","no change",-0.28778272101751,5.15238761904928,-5.39487765108282,8475868,"V","C. nigoni background","No change","Conserved"
"WBGene00028952__Cnig_chr_V.g18554",0,1,0,"ambiguous","ambiguous",7.001308625276,4.58342769254822,2.46301165492459,8687070,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00030449__Cnig_chr_V.g18631",0,0,0,"conserved","no change",0.0199220113864865,5.43471186108112,-5.3651420110015,8961815,"V","C. nigoni background","No change","Conserved"
"WBGene00041846__Cni-C54D10.10",0,0,0,"conserved","no change",-0.531503151096648,0.334399504108099,-0.801453783744859,9761524,"V","C. nigoni background","No change","Conserved"
"WBGene00041761__Cnig_chr_V.g18953",-1,0,0,"ambiguous","ambiguous",-1.8449057613632,2.80324884244312,-4.60858918127863,10075795,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00041669__Cni-W05E10.2",0,0,0,"conserved","no change",1.50470038057436,2.60146196338681,-1.02668165345103,10575012,"V","C. nigoni background","No change","Conserved"
"WBGene00270740__Cni-C03E10.3",0,0,0,"conserved","no change",2.22545416028691,3.17869770660172,-0.877183029275995,11062063,"V","C. nigoni background","No change","Conserved"
"WBGene00031268__Cni-F58B4.6",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.116611036985207,7.2660191510509,-7.32583541041119,11433704,"V","C. nigoni background","Cbr dominant","trans-only"
"WBGene00031000__Cni-dmd-10",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",0.071217673444347,6.87966422660221,-6.74986558080835,12554218,"V","C. nigoni background","Cbr dominant","trans-only"
"WBGene00030957__Cni-M03E7.4",-1,0,0,"ambiguous","ambiguous",-1.54305648959597,2.85639983473017,-4.32202176256235,12780267,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00088540__Cnig_chr_V.g19750",0,0,1,"ambiguous","ambiguous",1.33674831043248,6.77918458269714,-5.38949587442159,12971126,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00038224__Cni-F13H6.5",0,0,1,"ambiguous","ambiguous",3.03629723260958,5.44531391520306,-2.31214738943394,13362630,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00303252__Cni-F21C10.11",0,0,0,"conserved","no change",2.08098888942111,2.37251113562073,-0.237435932567095,14379260,"V","C. nigoni background","No change","Conserved"
"WBGene00038633__Cnig_chr_V.g20337",0,0,0,"conserved","no change",-2.28482410430253,0.349341965749966,-2.58124407531655,15241020,"V","C. nigoni background","No change","Conserved"
"WBGene00027192__Cni-R08A2.7",0,0,0,"conserved","no change",0.622500418516277,4.38391276188703,-3.71340171848025,15668217,"V","C. nigoni background","No change","Conserved"
"WBGene00027288__Cnig_chr_V.g20601",-1,0,0,"ambiguous","ambiguous",-0.762994534119853,5.7278148032597,-6.41448487342247,16101028,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00027560__Cnig_chr_V.g20998",0,0,0,"conserved","no change",-1.01848665573056,0.466105705958649,-1.45343939010012,17441377,"V","C. nigoni background","No change","Conserved"
"WBGene00088714__Cnig_chr_V.g21357",0,0,0,"conserved","no change",-1.8432736205747,0.509812393819189,-2.2759458403037,18578336,"V","C. nigoni background","No change","Conserved"
"WBGene00041294__Cnig_chr_V.g21668",-1,-1,1,"C. briggsae partial trans up","additive up",-3.15859438501055,7.87702369432493,-10.9845931749035,19765681,"V","C. nigoni background","Additive","cis-trans"
"WBGene00039338__Cnig_chr_V.g21704",-1,0,0,"ambiguous","ambiguous",-3.39011164672012,0.879133863242453,-4.2455575809248,19949444,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00027986__Cni-F31D4.5",0,0,0,"conserved","no change",-2.0177282128292,-0.281543277277191,-1.64413459501857,21075990,"V","C. nigoni background","No change","Conserved"
"WBGene00028021__Cni-Y38H6C.16",0,0,0,"conserved","no change",-1.8185068705332,1.84277104115249,-3.59540319503505,21292163,"V","C. nigoni background","No change","Conserved"
"WBGene00028073__Cnig_chr_V.g22051",-1,0,0,"ambiguous","ambiguous",-1.76311870033083,5.37935144767589,-7.06264246479192,21600684,"V","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00029921__Cnig_chr_X.g22191",-1,0,0,"ambiguous","ambiguous",-1.5724204168131,6.09072487832831,-7.58699933253919,108018,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00036288__Cni-C37E2.2",0,0,0,"conserved","no change",-1.64383904912316,0.66612139591806,-2.27767571123185,1301351,"X","C. nigoni background","No change","Conserved"
"WBGene00036263__Cni-E01G6.1",0,0,0,"conserved","no change",0.858413746195299,5.54798911560957,-4.61956970422533,1507464,"X","C. nigoni background","No change","Conserved"
"WBGene00036233__Cnig_chr_X.g22532",0,0,0,"conserved","no change",-1.056390239869,1.98476778840945,-2.98293327280304,1696663,"X","C. nigoni background","No change","Conserved"
"WBGene00036162__Cnig_chr_X.g22602",-1,-1,0,"no effect","C. nigoni dominant",-5.4072314674331,5.24424117704587,-10.6184312190343,2160930,"X","C. nigoni background","Cni dominant","No change"
"WBGene00036142__Cni-del-8",0,0,1,"ambiguous","ambiguous",1.26161953233813,6.58161104422771,-5.2646582863451,2516220,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00025125__Cni-ZC373.2",-1,0,0,"ambiguous","ambiguous",-0.671950477850505,5.97158993214377,-6.60809271113405,3908152,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00088924__Cni-T01B6.1",0,0,0,"conserved","no change",0.472855644362586,1.85430281254257,-1.34453433907935,4787986,"X","C. nigoni background","No change","Conserved"
"WBGene00036937__Cnig_chr_X.g23567",0,0,0,"conserved","no change",-1.70663284821145,0.87095199293404,-2.51375571808775,7510949,"X","ZZY10307","No change","Conserved"
"WBGene00089010__Cnig_chr_X.g23600",0,0,0,"conserved","no change",-1.70875875037046,0.159687096246692,-1.78613524481357,7741522,"X","ZZY10307","No change","Conserved"
"WBGene00034675__Cnig_chr_X.g23685",1,1,0,"no effect","C. nigoni dominant",8.3456278549541,-0.676299143604446,9.07465069797168,8274776,"X","ZZY10307","Cni dominant","No change"
"WBGene00034890__Cni-F20B6.4",0,0,0,"conserved","no change",0.935664925423986,2.58741917887247,-1.60267109521846,10098439,"X","ZZY10307","No change","Conserved"
"WBGene00035230__Cni-C15H9.9",1,1,0,"no effect","C. nigoni dominant",11.6891293613647,-0.185040611703035,11.9300859754636,12167080,"X","ZZY10307","Cni dominant","No change"
"WBGene00027599__Cni-C03B1.6",0,0,1,"ambiguous","ambiguous",1.436042071146,6.68621403730136,-5.19824470589257,12493525,"X","ZZY10307","Ambiguous","Ambiguous"
"WBGene00036581__Cnig_chr_X.g24798",0,0,0,"conserved","no change",-3.40727774229721,-0.786023817820722,-2.57473512788556,13834375,"X","C. nigoni background","No change","Conserved"
"WBGene00089228__Cnig_chr_X.g24803",0,0,0,"conserved","no change",-0.834235422859305,2.22110615136684,-2.98713196104027,13847378,"X","C. nigoni background","No change","Conserved"
"WBGene00036629__Cni-ZK154.1",-1,0,0,"ambiguous","ambiguous",-2.2931381906358,1.62070320263684,-3.84548628627276,14278852,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00036721__Cni-C05E7.2",0,0,0,"conserved","no change",0.481991897000968,5.82744275361675,-5.26434112568675,14861111,"X","C. nigoni background","No change","Conserved"
"WBGene00023624__Cni-B0563.9",0,0,1,"ambiguous","ambiguous",3.0849412208555,4.67680629137075,-1.50820660780823,15586577,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00089330__Cnig_chr_X.g25209",0,0,0,"conserved","no change",0.874127611941504,2.15236763836766,-1.21440075640236,16122313,"X","C. nigoni background","No change","Conserved"
"WBGene00023689__Cni-lact-7",0,0,0,"conserved","no change",1.73325245682073,3.38370367014702,-1.60523244190391,16163815,"X","C. nigoni background","No change","Conserved"
"WBGene00023689__Cni-ttx-3",0,0,0,"conserved","no change",0.392332219755085,1.35278130023895,-0.914278940407367,16169564,"X","C. nigoni background","No change","Conserved"
"WBGene00089337__Cnig_chr_X.g25239",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",4.47859735874789,-3.82508325938414,8.37814972237791,16296142,"X","C. nigoni background","Cbr dominant","trans-only"
"WBGene00035763__Cni-Y62H9A.5",-1,0,0,"ambiguous","ambiguous",-1.13833797694383,5.79996992145507,-6.90480178828068,16337795,"X","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00041217__Cnig_chr_X.g25568",-1,1,1,"cis-trans combinatory","overdominant",1.6198435175568,8.32609541373716,-6.64772946383774,17816963,"X","ZZY10330","Overdominant","cis-trans combinatory"
"WBGene00029674__Cni-H13N06.2",0,0,0,"conserved","no change",-0.573527035669078,0.237901204175236,-0.742351691991589,19101711,"X","ZZY10330","No change","Conserved"
"WBGene00029654__Cnig_chr_X.g25830",-1,0,1,"cis-only local","C. briggsae dominant up",0.272923559242654,9.73067175558063,-9.40680422946434,19257015,"X","ZZY10330","Cbr dominant","Cis-only local"
"WBGene00029603__Cni-col-41",-1,0,1,"cis-only local","C. briggsae dominant up",-0.324834867220988,11.1143646355689,-11.3831266417947,19452797,"X","ZZY10330","Cbr dominant","Cis-only local"
"WBGene00029533__Cnig_chr_X.g26019",-1,-1,1,"cis-trans combinatory","additive up",-4.13268504679018,7.7808059848777,-11.8716153630817,20274523,"X","ZZY10330","Additive","cis-trans combinatory"
